Origin Country Code,Origin Country,Dest Country Code,Dest Country,Year,Flow,Inflow,Outflow
AUS,Austria,BEL,Belgium,1991,72.0,136.0,64.0
AUS,Austria,BEL,Belgium,1992,112.0,170.0,58.0
AUS,Austria,BEL,Belgium,1993,138.0,208.0,70.0
AUS,Austria,BEL,Belgium,1994,176.0,253.0,77.0
AUS,Austria,BEL,Belgium,1995,207.0,310.0,103.0
AUS,Austria,BEL,Belgium,1996,257.0,373.0,116.0
AUS,Austria,BEL,Belgium,1997,277.0,414.0,137.0
AUS,Austria,BEL,Belgium,1998,64.0,433.0,369.0
AUS,Austria,BEL,Belgium,1999,38.0,430.0,392.0
AUS,Austria,BEL,Belgium,2000,46.0,401.0,355.0
AUS,Austria,BEL,Belgium,2001,160.0,350.0,190.0
AUS,Austria,BEL,Belgium,2002,173.0,317.0,144.0
AUS,Austria,BEL,Belgium,2003,107.0,295.0,188.0
AUS,Austria,BEL,Belgium,2004,100.0,292.0,192.0
AUS,Austria,BEL,Belgium,2005,50.0,303.0,253.0
AUS,Austria,BEL,Belgium,2006,55.0,331.0,276.0
AUS,Austria,BEL,Belgium,2007,159.0,349.0,190.0
AUS,Austria,BEL,Belgium,2008,102.0,355.0,253.0
AUS,Austria,BEL,Belgium,2009,76.0,353.0,277.0
AUS,Austria,BEL,Belgium,2010,70.0,340.0,270.0
AUS,Austria,BEL,Belgium,2011,54.0,315.0,261.0
AUS,Austria,BEL,Belgium,2012,63.0,291.0,228.0
AUS,Austria,BEL,Belgium,2013,-12.0,262.0,274.0
AUS,Austria,BEL,Belgium,2014,70.0,240.0,170.0
AUS,Austria,BEL,Belgium,2015,32.0,211.0,179.0
AUS,Austria,BEL,Belgium,2016,10.0,184.0,174.0
AUS,Austria,BEL,Belgium,2017,-6.0,159.0,165.0
AUS,Austria,BEL,Belgium,2018,-35.0,142.0,177.0
AUS,Austria,BEL,Belgium,2019,129.0,129.0,0.0
AUS,Austria,BEL,Belgium,2020,118.0,118.0,0.0
