Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,AUT,77195.0,71035.0,33610.0,2844.0,1447.0,3969.0,1459.0,8493.0,19768.0,17531.0,39173.0,37429.0,44003.0,54907.0,50282.0,25420.0,23729.0,25499.0,17121.0,22786.0,31665.0,44891.0,56494.0,74263.0,115125.0,66282.0,45573.0,35404.0,41105.0,20314.0,20314.0
Belgium,BEL,8150.0,9952.0,12080.0,14118.0,16528.0,19272.0,22141.0,25295.0,28651.0,32262.0,35439.0,38517.0,41479.0,43994.0,46280.0,48426.0,50352.0,51937.0,53385.0,54611.0,55511.0,56227.0,56755.0,57103.0,57008.0,56781.0,56248.0,55439.0,54395.0,53428.0,52356.0
Bulgaria,BGR,-28324.0,-27139.0,-25843.0,-24238.0,-22495.0,-20330.0,-18375.0,-16403.0,-14046.0,-11295.0,-8623.0,-6134.0,-4527.0,-4156.0,-3832.0,-3980.0,-4748.0,-5674.0,-6997.0,-8686.0,-11262.0,-13770.0,-15243.0,-15527.0,-15356.0,-14947.0,-13560.0,-12115.0,-11439.0,-9902.0,-8716.0
Cyprus,CYP,2565.0,3587.0,11094.0,11017.0,11179.0,11197.0,11382.0,11566.0,11839.0,11577.0,12052.0,13449.0,13326.0,13126.0,13237.0,12664.0,12912.0,12489.0,12173.0,12456.0,6134.0,4789.0,4426.0,4467.0,4655.0,4878.0,5014.0,4977.0,4948.0,2999.0,1995.0
Germany,DEU,482849.0,470043.0,441211.0,394809.0,330244.0,246097.0,178604.0,125369.0,86982.0,60905.0,48500.0,45985.0,54381.0,73107.0,102694.0,145046.0,180746.0,211709.0,240968.0,267047.0,293051.0,317082.0,342555.0,369027.0,397921.0,432017.0,430803.0,392587.0,360560.0,334055.0,312735.0
Denmark,DNK,10812.0,11990.0,13011.0,13723.0,14157.0,14394.0,14313.0,13972.0,13391.0,12536.0,11934.0,11518.0,11337.0,11366.0,11693.0,12217.0,13067.0,14111.0,15469.0,17037.0,18519.0,19732.0,20779.0,21670.0,22368.0,22859.0,23188.0,23337.0,23305.0,23076.0,22746.0
Spain,ESP,123866.0,162339.0,162620.0,162131.0,164507.0,164247.0,166516.0,168468.0,170694.0,175213.0,185594.0,741349.0,662840.0,661105.0,632974.0,658689.0,774489.0,430778.0,130589.0,62782.0,57170.0,-144619.0,-254292.0,-94869.0,-871.0,89021.0,167475.0,339064.0,458942.0,208791.0,275022.0
Estonia,EST,-9850.0,-38462.0,-25729.0,-18299.0,-12803.0,-10627.0,-4299.0,-3534.0,1271.0,-3230.0,-3422.0,-2984.0,-3780.0,-3768.0,-5242.0,-5403.0,-2862.0,-1973.0,-1939.0,-3759.0,-3929.0,-3646.0,-2650.0,-562.0,4308.0,1164.0,5329.0,7229.0,5410.0,2995.0,2995.0
Finland,FIN,14401.0,9296.0,8887.0,3688.0,4250.0,3612.0,5014.0,3887.0,3532.0,2428.0,6395.0,5250.0,6039.0,6872.0,9406.0,10801.0,13940.0,15579.0,14757.0,14053.0,16712.0,17620.0,18026.0,15950.0,12433.0,17210.0,13307.0,11646.0,15558.0,17482.0,14928.0
France,FRA,4385.0,740.0,235.0,4295.0,11505.0,23046.0,37822.0,56608.0,77667.0,102857.0,122247.0,137513.0,148696.0,154947.0,155943.0,151814.0,142170.0,128627.0,108940.0,86355.0,65188.0,49080.0,36552.0,26585.0,18807.0,14729.0,13175.0,14391.0,17403.0,18335.0,20614.0
United Kingdom,GBR,3255.0,10003.0,20837.0,33409.0,48732.0,66293.0,86309.0,108637.0,133216.0,161157.0,186701.0,210510.0,230387.0,247447.0,261300.0,272651.0,279808.0,283762.0,284800.0,281588.0,277521.0,272601.0,268067.0,261389.0,254218.0,246940.0,239014.0,230577.0,221179.0,211063.0,202027.0
Greece,GRC,74993.0,73934.0,73303.0,71421.0,69212.0,65364.0,60474.0,54245.0,46164.0,35798.0,24607.0,15717.0,7095.0,-1102.0,-7559.0,-13700.0,-18697.0,-21969.0,-23831.0,-25002.0,-26257.0,-30036.0,-31535.0,-30228.0,-29315.0,-27234.0,-25061.0,-23600.0,-21581.0,-17853.0,-14806.0
Croatia,HRV,-47995.0,-34344.0,29470.0,27267.0,-52246.0,-48626.0,-53064.0,-48299.0,-48578.0,-50791.0,-17581.0,-12562.0,-8641.0,-5673.0,-3834.0,-2720.0,-2207.0,-2613.0,-3675.0,-5624.0,-8241.0,-10440.0,-11833.0,-12849.0,-13408.0,-13569.0,-13654.0,-13171.0,-12480.0,-11592.0,-10402.0
