Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,AUT,173794000000.0,195078000000.0,190380000000.0,203535000000.0,241038000000.0,237251000000.0,212790000000.0,218260000000.0,217186000000.0,196800000000.0,197338000000.0,213378000000.0,261696000000.0,300904000000.0,315974000000.0,335999000000.0,388691000000.0,430294000000.0,400172000000.0,391893000000.0,431120000000.0,409425000000.0,430069000000.0,441885000000.0,382066000000.0,390800000000.0,417261000000.0,454991000000.0,444596000000.0,435049000000.0,479295000000.0,470942000000.0,516034000000.0
Belgium,BEL,211638000000.0,236038000000.0,225925000000.0,246195000000.0,289567000000.0,281358000000.0,254814000000.0,260602000000.0,260202000000.0,237905000000.0,237842000000.0,258860000000.0,319003000000.0,370885000000.0,387366000000.0,409813000000.0,471821000000.0,518626000000.0,484553000000.0,483548000000.0,527008000000.0,497884000000.0,520925000000.0,531076000000.0,455200000000.0,467956000000.0,502765000000.0,543299000000.0,535866000000.0,526022000000.0,600904000000.0,583614000000.0,632217000000.0
Bulgaria,BGR,10943548387.0,10350515464.0,10829710145.0,9697416974.0,13063422619.0,10109404160.0,11195630537.0,14630974778.0,13495062850.0,13148099185.0,14135393876.0,16360346654.0,21074775206.0,26094622564.0,29821662537.0,34304448150.0,44765733380.0,54409138498.0,51884481410.0,50610031136.0,57418391042.0,53903028252.0,55758744571.0,56732006512.0,50199117547.0,53237882473.0,59309748166.0,66370132238.0,68881010246.0,70368758395.0,84041493016.0,90346169915.0,101584000000.0
Cyprus,CYP,5770197348.0,6912150456.0,6590291048.0,7425703929.0,9826778784.0,9899623588.0,9594298746.0,10353506787.0,10614455232.0,10183317625.0,10567304189.0,11618269231.0,14576896942.0,17422375000.0,18703146375.0,20403713461.0,24077470572.0,27839460964.0,25942622951.0,25562251656.0,27427161523.0,25041372222.0,24084572491.0,23359294149.0,19676167240.0,20047013274.0,22946583375.0,25597301191.0,25947020102.0,25227189745.0,29482912835.0,29250532020.0,32229622669.0
Czech Republic,CZE,29675502270.0,34590052812.0,40614350197.0,47554674591.0,59775697061.0,66985765439.0,61792161168.0,66490372105.0,64867483193.0,61649492817.0,67523642262.0,81910771994.0,99627140274.0,119162000000.0,136281000000.0,155464000000.0,189227000000.0,235719000000.0,206180000000.0,207478000000.0,227948000000.0,207376000000.0,209402000000.0,207818000000.0,186830000000.0,195305000000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Germany,DEU,1861870000000.0,2123130000000.0,2068560000000.0,2205970000000.0,2591620000000.0,2503670000000.0,2218690000000.0,2243230000000.0,2199960000000.0,1949950000000.0,1950650000000.0,2079140000000.0,2505730000000.0,2819250000000.0,2861410000000.0,3002450000000.0,3439950000000.0,3752370000000.0,3418010000000.0,3417090000000.0,3757700000000.0,3543980000000.0,3752510000000.0,3890610000000.0,3375610000000.0,3477800000000.0,3690850000000.0,3974440000000.0,3889180000000.0,3887730000000.0,4278500000000.0,4082470000000.0,4456080000000.0
Denmark,DNK,139225000000.0,152916000000.0,143196000000.0,156162000000.0,185007000000.0,187632000000.0,173538000000.0,176992000000.0,177965000000.0,164159000000.0,164791000000.0,178635000000.0,218096000000.0,251373000000.0,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,301298000000.0,306900000000.0,332121000000.0,356841000000.0,346499000000.0,354763000000.0,405688000000.0,400167000000.0,404199000000.0
Spain,ESP,575599000000.0,629202000000.0,523649000000.0,529122000000.0,612940000000.0,640998000000.0,588692000000.0,617042000000.0,633194000000.0,595403000000.0,625976000000.0,705146000000.0,906853000000.0,1069560000000.0,1157280000000.0,1264550000000.0,1479340000000.0,1635020000000.0,1499100000000.0,1431620000000.0,1488070000000.0,1336020000000.0,1361850000000.0,1376910000000.0,1197790000000.0,1237260000000.0,1313250000000.0,1421700000000.0,1394320000000.0,1278130000000.0,1445650000000.0,1417800000000.0,1580690000000.0
Estonia,EST,-1.0,-1.0,-1.0,-1.0,4373665146.0,4746109767.0,5066240419.0,5617109245.0,5726897998.0,5685774809.0,6245069734.0,7322069511.0,9833870709.0,12059201242.0,14006088297.0,16963625016.0,22237061730.0,24194039256.0,19652492637.0,19490936349.0,23170239901.0,23043864510.0,25137153149.0,26224622451.0,22566956982.0,23337907619.0,26924385103.0,30624720196.0,31290453294.0,31330419851.0,36864792512.0,37921480882.0,40744848828.0
Finland,FIN,127866000000.0,112625000000.0,89255751015.0,103322000000.0,134199000000.0,132099000000.0,126833000000.0,133936000000.0,135226000000.0,125540000000.0,129250000000.0,139553000000.0,171071000000.0,196768000000.0,204436000000.0,216553000000.0,255385000000.0,283742000000.0,251499000000.0,247800000000.0,273674000000.0,256706000000.0,269980000000.0,272609000000.0,232439000000.0,238503000000.0,255648000000.0,275708000000.0,268515000000.0,271886000000.0,296470000000.0,281887000000.0,300187000000.0
